,City,Country,Latitude,Longitude,Max Temperature(F),Humidity,Cloudiness,Wind Speed(mph),Date
299,tucupita,VE,9.06,-62.05,302.7,57.0,0.0,0.0,1578320927
300,palabuhanratu,,,,,,,,
301,palmerston,AU,-12.49,130.99,299.15,94.0,90.0,90.0,1578320927
302,starosubkhangulovo,RU,53.1,57.43,267.13,97.0,100.0,100.0,1578320706
303,verkhniye kigi,RU,55.41,58.6,267.25,92.0,100.0,100.0,1578320927
304,jacareacanga,BR,-6.22,-57.76,300.15,88.0,82.0,82.0,1578320927
305,vilhena,BR,-12.74,-60.15,298.15,83.0,75.0,75.0,1578320927
306,ngatea,NZ,-37.27,175.5,288.71,67.0,7.0,7.0,1578320706
307,broome,GB,52.47,1.45,281.48,75.0,75.0,75.0,1578320706
308,taoudenni,ML,22.68,-3.98,295.68,9.0,97.0,97.0,1578320905
309,piotrkow trybunalski,PL,51.41,19.7,274.82,82.0,90.0,90.0,1578320927
310,muleba,TZ,-1.84,31.66,296.15,73.0,75.0,75.0,1578320707
311,butterworth,MY,5.4,100.37,302.15,65.0,20.0,20.0,1578320928
312,tigil,RU,57.8,158.67,257.09,76.0,0.0,0.0,1578320707
313,maltahohe,NA,-24.83,16.98,301.37,30.0,97.0,97.0,1578320928
314,mayor pablo lagerenza,PY,-19.93,-60.77,305.88,44.0,73.0,73.0,1578320707
315,umm lajj,SA,25.02,37.27,288.84,50.0,0.0,0.0,1578320707
316,ketchikan,US,55.34,-131.65,273.15,92.0,75.0,75.0,1578320928
317,balykshi,,,,,,,,
318,bend,US,44.06,-121.32,277.15,74.0,20.0,20.0,1578320928
319,norden,DE,53.59,7.21,279.26,93.0,75.0,75.0,1578320928
320,kavaratti,IN,10.57,72.64,300.56,71.0,59.0,59.0,1578320707
321,clyde river,CA,70.47,-68.59,237.15,59.0,75.0,75.0,1578320708
322,zyryanka,RU,65.73,150.89,245.42,92.0,0.0,0.0,1578320708
323,soyo,AO,-6.13,12.37,305.15,66.0,20.0,20.0,1578320928
324,puerto carreno,CO,6.19,-67.49,302.15,70.0,0.0,0.0,1578320928
325,sao felix do xingu,BR,-6.64,-51.99,296.29,97.0,100.0,100.0,1578320929
326,cuiluan,CN,47.72,128.65,262.56,85.0,100.0,100.0,1578320929
327,elbistan,TR,38.2,37.19,271.51,97.0,100.0,100.0,1578320929
328,tumannyy,,,,,,,,
329,damghan,IR,36.17,54.34,278.63,49.0,1.0,1.0,1578320708
330,itaituba,BR,-4.26,-55.99,303.15,74.0,40.0,40.0,1578320929
331,san juan,AR,-31.54,-68.53,298.17,18.0,27.0,27.0,1578320929
332,chanika,MW,-12.93,34.19,297.2,92.0,100.0,100.0,1578320929
333,hay river,CA,60.82,-115.79,248.15,75.0,90.0,90.0,1578320929
334,trairi,BR,-3.28,-39.27,304.12,56.0,52.0,52.0,1578320709
335,maniitsoq,GL,65.42,-52.9,254.19,92.0,100.0,100.0,1578320929
336,faanui,PF,-16.48,-151.75,300.42,80.0,6.0,6.0,1578320929
337,hami,CN,42.84,93.51,266.44,49.0,37.0,37.0,1578320929
338,alice springs,AU,-23.7,133.88,297.15,50.0,90.0,90.0,1578320930
339,coquimbo,CL,-29.95,-71.34,292.15,72.0,0.0,0.0,1578320930
340,lazaro cardenas,MX,28.39,-105.62,277.59,68.0,40.0,40.0,1578320930
341,lagoa,PT,37.14,-8.45,292.04,67.0,0.0,0.0,1578320930
342,jonuta,MX,18.08,-92.13,292.15,93.0,90.0,90.0,1578320709
343,tessalit,ML,20.2,1.01,296.92,9.0,38.0,38.0,1578320930
344,tsihombe,,,,,,,,
345,mafinga,,,,,,,,
346,riohacha,CO,11.54,-72.91,302.15,62.0,20.0,20.0,1578320930
347,xapuri,BR,-10.65,-68.5,302.15,79.0,40.0,40.0,1578320710
348,plettenberg bay,ZA,-34.05,23.37,291.85,87.0,100.0,100.0,1578320930
349,guerrero negro,MX,27.97,-114.04,286.26,62.0,0.0,0.0,1578320930
350,kota kinabalu,MY,5.98,116.07,301.15,74.0,75.0,75.0,1578320710
351,presidencia roque saenz pena,AR,-26.79,-60.44,300.56,51.0,100.0,100.0,1578320930
352,vestbygda,,,,,,,,
353,impfondo,CD,1.62,18.06,310.13,20.0,30.0,30.0,1578320931
354,douala,CM,4.04,9.71,305.15,59.0,40.0,40.0,1578320931
355,amazar,RU,53.86,120.88,249.55,95.0,0.0,0.0,1578320931
356,kozluk,TR,38.17,41.5,282.15,66.0,75.0,75.0,1578320931
357,bernalillo,US,35.3,-106.55,273.71,63.0,1.0,1.0,1578320710
358,oussouye,SN,12.49,-16.54,303.15,23.0,1.0,1.0,1578320931
359,kerman,IR,30.29,57.06,280.15,39.0,0.0,0.0,1578320931
360,north bend,US,43.41,-124.22,283.15,87.0,90.0,90.0,1578320709
361,geresk,,,,,,,,
362,melita,CA,49.27,-100.98,265.93,86.0,0.0,0.0,1578320931
363,copiapo,CL,-27.37,-70.33,295.15,53.0,75.0,75.0,1578320931
364,hope,US,33.67,-93.59,279.26,80.0,1.0,1.0,1578320711
365,banda aceh,ID,5.56,95.32,295.58,93.0,3.0,3.0,1578320912
366,tilichiki,RU,60.47,166.1,254.56,96.0,100.0,100.0,1578320932
367,yeppoon,AU,-23.13,150.74,297.15,88.0,40.0,40.0,1578320711
368,utiroa,,,,,,,,
369,ust-kamchatsk,,,,,,,,
370,ponta delgada,PT,37.73,-25.67,292.15,93.0,40.0,40.0,1578320932
371,wana,PK,32.31,69.59,271.32,98.0,100.0,100.0,1578320932
372,olafsvik,,,,,,,,
373,cape canaveral,US,28.41,-80.6,288.15,58.0,1.0,1.0,1578320932
374,pedra,BR,-8.5,-36.94,305.7,35.0,100.0,100.0,1578320712
375,opotiki,NZ,-38.01,177.29,286.48,66.0,34.0,34.0,1578320932
376,uruguaiana,BR,-29.77,-57.08,306.15,52.0,20.0,20.0,1578320932
377,andevoranto,,,,,,,,
378,yulara,AU,-25.24,130.99,301.15,45.0,90.0,90.0,1578320712
379,biltine,TD,14.53,20.93,302.95,14.0,9.0,9.0,1578320932
380,sadowara,,,,,,,,
381,saldanha,PT,41.42,-6.55,281.88,60.0,100.0,100.0,1578320933
382,tinos,GR,37.54,25.16,282.15,70.0,75.0,75.0,1578320823
383,maharajganj,IN,26.11,84.5,288.17,54.0,33.0,33.0,1578320933
384,codrington,AU,-28.95,153.24,296.48,83.0,40.0,40.0,1578320713
385,san quintin,PH,17.54,120.52,294.4,87.0,11.0,11.0,1578320933
386,rio grande,BR,-32.03,-52.1,307.15,44.0,17.0,17.0,1578320643
387,isangel,VU,-19.55,169.27,298.05,85.0,97.0,97.0,1578320933
388,ha tinh,VN,18.33,105.9,295.64,91.0,0.0,0.0,1578320933
389,os,,,,,,,,
390,shiraz,IR,29.61,52.54,280.37,56.0,0.0,0.0,1578320713
391,vestmannaeyjar,IS,63.44,-20.27,276.15,93.0,75.0,75.0,1578320713
392,warrnambool,AU,-38.38,142.48,285.37,92.0,0.0,0.0,1578320934
393,atar,MR,20.52,-13.05,296.37,7.0,68.0,68.0,1578320934
394,kitimat,CA,54.02,-128.69,271.15,100.0,90.0,90.0,1578320934
395,chalon-sur-saone,FR,46.78,4.85,282.59,100.0,75.0,75.0,1578320787
396,castlerea,IE,53.77,-8.49,282.04,93.0,20.0,20.0,1578320934
397,kinablangan,PH,7.69,126.55,295.76,97.0,100.0,100.0,1578320934
398,varhaug,NO,58.61,5.65,280.37,93.0,75.0,75.0,1578320934
399,muncar,ID,-8.43,114.34,300.89,80.0,67.0,67.0,1578320934
400,seoul,KR,37.57,126.98,278.15,100.0,90.0,90.0,1578320934
401,nantucket,US,41.28,-70.1,274.15,64.0,90.0,90.0,1578320918
402,cayenne,GF,4.94,-52.33,303.15,62.0,75.0,75.0,1578320934
403,haimen,CN,31.87,121.18,292.04,91.0,50.0,50.0,1578320934
404,progreso,UY,-34.68,-56.22,297.59,60.0,75.0,75.0,1578320714
405,padang,ID,-0.92,100.36,293.73,92.0,100.0,100.0,1578320934
406,naryan-mar,RU,67.67,53.09,263.06,90.0,100.0,100.0,1578320935
407,kavieng,PG,-2.57,150.8,302.5,75.0,18.0,18.0,1578320935
408,nampula,MZ,-15.12,39.26,298.15,83.0,90.0,90.0,1578320935
409,saleaula,,,,,,,,
410,cavalcante,BR,-13.79,-47.46,294.55,89.0,95.0,95.0,1578320935
411,port augusta,AU,-32.49,137.76,293.15,72.0,5.0,5.0,1578320935
412,wanaka,NZ,-44.7,169.14,283.71,53.0,11.0,11.0,1578320935
413,kiama,AU,-34.67,150.86,293.71,100.0,100.0,100.0,1578320935
414,baykit,RU,61.68,96.39,261.44,95.0,97.0,97.0,1578320935
415,krasnoselkup,,,,,,,,
416,tezu,IN,27.93,96.16,284.22,69.0,0.0,0.0,1578320935
417,sivas,TR,39.75,37.01,271.15,92.0,90.0,90.0,1578320935
418,wanning,AT,48.64,13.53,277.15,69.0,0.0,0.0,1578320935
419,halalo,,,,,,,,
420,phan rang,,,,,,,,
421,wajir,KE,1.75,40.07,308.08,34.0,77.0,77.0,1578320936
422,severodvinsk,RU,64.56,39.82,267.15,85.0,90.0,90.0,1578320936
423,kuching,MY,1.56,110.34,297.15,94.0,75.0,75.0,1578320936
424,alindao,CF,5.04,21.21,307.51,17.0,35.0,35.0,1578320936
425,solnechnyy,RU,50.72,136.64,254.46,83.0,0.0,0.0,1578320936
426,bone,DE,51.97,12.14,278.71,75.0,75.0,75.0,1578320936
427,kamenka,MD,48.03,28.7,272.59,67.0,58.0,58.0,1578320936
428,contai,IN,21.78,87.75,292.78,41.0,0.0,0.0,1578320716
429,menongue,AO,-14.66,17.68,296.82,76.0,82.0,82.0,1578320936
430,angoche,MZ,-16.23,39.91,301.18,84.0,100.0,100.0,1578320936
431,simoes,BR,-7.6,-40.82,305.04,49.0,74.0,74.0,1578320936
432,hovd,NO,63.83,10.7,282.59,65.0,75.0,75.0,1578320936
433,half moon bay,US,37.46,-122.43,281.48,93.0,1.0,1.0,1578320918
434,kurumkan,RU,54.33,110.32,253.18,83.0,0.0,0.0,1578320936
435,yangambi,CD,0.77,24.47,303.8,51.0,97.0,97.0,1578320937
436,korla,,,,,,,,
437,tura,RU,64.27,100.22,261.26,88.0,100.0,100.0,1578320717
438,duldurga,RU,50.67,113.59,256.89,89.0,0.0,0.0,1578320937
439,ahipara,NZ,-35.17,173.16,287.04,93.0,100.0,100.0,1578320717
440,mahibadhoo,MV,3.78,72.97,301.18,79.0,100.0,100.0,1578320937
441,kadirli,TR,37.37,36.09,282.04,89.0,100.0,100.0,1578320937
442,san antonio,CL,-33.58,-71.61,291.15,67.0,0.0,0.0,1578320925
443,jining,CN,35.41,116.58,277.61,94.0,100.0,100.0,1578320937
444,othonoi,,,,,,,,
445,newport,GB,51.59,-3.0,283.15,93.0,100.0,100.0,1578320749
446,necochea,AR,-38.55,-58.74,293.71,67.0,0.0,0.0,1578320937
447,gladstone,AU,-23.84,151.26,297.04,94.0,90.0,90.0,1578320937
448,mitzic,GA,0.78,11.55,302.3,54.0,100.0,100.0,1578320937
449,rio bueno,JM,18.47,-77.46,299.15,83.0,75.0,75.0,1578320938
450,sao filipe,CV,14.9,-24.5,296.05,57.0,31.0,31.0,1578320938
451,malmyzh,RU,56.52,50.68,269.39,95.0,100.0,100.0,1578320718
452,shubarkuduk,KZ,49.15,56.49,266.1,96.0,100.0,100.0,1578320938
453,haines junction,CA,60.75,-137.51,252.26,99.0,100.0,100.0,1578320938
454,okhotsk,RU,59.36,143.24,252.34,80.0,0.0,0.0,1578320718
455,san rafael del sur,NI,11.85,-86.44,299.15,78.0,20.0,20.0,1578320718
456,aswan,EG,24.09,32.9,290.15,27.0,0.0,0.0,1578320938
457,viligili,,,,,,,,
458,buraydah,SA,26.33,43.97,290.15,36.0,40.0,40.0,1578320719
459,obo,CF,5.39,26.49,306.94,19.0,0.0,0.0,1578320938
460,hamilton,CA,43.26,-79.87,275.37,69.0,75.0,75.0,1578320938
461,bonthe,SL,7.53,-12.5,303.09,49.0,0.0,0.0,1578320938
462,mishkino,RU,56.22,46.62,271.15,92.0,90.0,90.0,1578320938
463,rudnogorsk,RU,57.27,103.75,264.09,96.0,92.0,92.0,1578320719
464,saint anthony,US,43.97,-111.68,269.26,92.0,90.0,90.0,1578320939
465,kodinsk,RU,58.6,99.18,264.0,95.0,66.0,66.0,1578320939
466,selfoss,IS,63.94,-21.0,276.15,83.0,75.0,75.0,1578320939
467,gidole,ET,5.65,37.37,299.66,42.0,100.0,100.0,1578320939
468,kyren,RU,51.68,102.13,258.78,52.0,0.0,0.0,1578320939
469,bara,NG,10.41,10.6,304.47,19.0,100.0,100.0,1578320939
470,fairfield,US,38.25,-122.04,281.48,86.0,1.0,1.0,1578320915
471,rangapara,IN,26.82,92.69,284.1,73.0,100.0,100.0,1578320720
472,belmonte,PT,40.36,-7.35,285.93,57.0,67.0,67.0,1578320933
473,sechura,PE,-5.56,-80.82,295.21,85.0,26.0,26.0,1578320720
474,gigmoto,PH,13.78,124.39,300.08,82.0,21.0,21.0,1578320939
475,lakselv,NO,70.05,24.96,267.15,78.0,75.0,75.0,1578320940
476,de aar,ZA,-30.65,24.01,307.36,11.0,0.0,0.0,1578320940
477,bereda,ES,43.27,-7.54,287.04,71.0,99.0,99.0,1578320940
478,iquique,CL,-20.22,-70.14,298.15,53.0,40.0,40.0,1578320898
479,parrita,CR,9.52,-84.33,298.15,56.0,68.0,68.0,1578320940
480,magadan,RU,59.56,150.8,259.62,66.0,0.0,0.0,1578320940
481,brae,GB,60.4,-1.35,282.15,81.0,75.0,75.0,1578320940
482,lompoc,US,34.64,-120.46,286.15,86.0,1.0,1.0,1578320779
483,sennoy,RU,52.16,46.96,270.37,98.0,89.0,89.0,1578320940
484,trincomalee,LK,8.58,81.23,297.17,92.0,61.0,61.0,1578320940
485,kerteh,,,,,,,,
486,vostok,RU,46.45,135.83,257.05,84.0,100.0,100.0,1578320940
487,havoysund,NO,71.0,24.66,273.15,86.0,75.0,75.0,1578320940
488,coruripe,BR,-10.12,-36.18,301.29,68.0,1.0,1.0,1578320721
489,kota tinggi,MY,1.73,103.9,298.15,100.0,75.0,75.0,1578320941
490,port hedland,AU,-20.31,118.58,305.15,43.0,100.0,100.0,1578320721
491,sinsheim,DE,49.26,8.88,279.82,82.0,90.0,90.0,1578320721
492,bahia blanca,AR,-38.72,-62.27,293.96,31.0,28.0,28.0,1578320721
493,ubatuba,BR,-23.43,-45.08,301.15,61.0,20.0,20.0,1578320941
494,svetlogorsk,RU,53.14,59.15,271.15,86.0,90.0,90.0,1578320858
495,srednekolymsk,RU,67.46,153.71,246.16,93.0,51.0,51.0,1578320903
496,barawe,,,,,,,,
497,povolzhskiy,RU,53.59,49.76,270.15,92.0,40.0,40.0,1578320941
498,zlatoustovsk,,,,,,,,
499,lodja,CD,-3.52,23.6,304.57,49.0,50.0,50.0,1578320722
500,buenos aires,AR,-34.61,-58.44,300.37,53.0,26.0,26.0,1578320690
501,beringovskiy,RU,63.05,179.32,249.94,83.0,0.0,0.0,1578320941
502,talcahuano,CL,-36.72,-73.12,291.15,52.0,20.0,20.0,1578320942
503,labuan,BN,5.28,115.24,301.15,78.0,75.0,75.0,1578320670
504,cherdyn,RU,60.4,56.48,258.87,96.0,1.0,1.0,1578320942
505,college,US,64.86,-147.8,245.93,73.0,1.0,1.0,1578320942
506,concepcion del oro,MX,24.63,-101.42,284.31,39.0,0.0,0.0,1578320942
507,sosnovo-ozerskoye,RU,52.53,111.54,252.34,100.0,75.0,75.0,1578320942
508,abu jubayhah,,,,,,,,
509,cotonou,BJ,6.37,2.43,305.15,35.0,19.0,19.0,1578320942
510,namatanai,PG,-3.66,152.44,301.99,77.0,39.0,39.0,1578320723
511,bida,NG,9.08,6.02,311.91,13.0,7.0,7.0,1578320942
512,petawawa,CA,45.89,-77.27,265.15,85.0,90.0,90.0,1578320942
513,mandalgovi,MN,45.76,106.27,258.94,77.0,0.0,0.0,1578320723
514,porto santo,,,,,,,,
515,pittsburg,US,38.02,-121.89,281.48,93.0,1.0,1.0,1578320942
516,mackay,CA,53.65,-115.58,266.15,78.0,90.0,90.0,1578320723
517,slobidka,UA,48.42,26.77,272.59,63.0,93.0,93.0,1578320943
518,mersing,MY,2.43,103.84,299.96,82.0,98.0,98.0,1578320943
519,luancheng,CN,37.88,114.65,273.15,65.0,100.0,100.0,1578320723
520,cody,US,44.53,-109.06,272.04,42.0,1.0,1.0,1578320763
521,datong,CN,40.09,113.3,264.14,79.0,100.0,100.0,1578320943
522,samusu,,,,,,,,
523,el monte,US,34.08,-118.04,291.15,61.0,1.0,1.0,1578320943
524,ambon,FR,47.55,-2.56,284.82,81.0,90.0,90.0,1578320724
525,mlowo,TZ,-9.01,33.0,294.05,87.0,100.0,100.0,1578320943
526,bilma,NE,18.69,12.92,294.5,15.0,7.0,7.0,1578320724
527,itarema,BR,-2.92,-39.92,305.65,50.0,51.0,51.0,1578320944
528,prince albert,CA,53.2,-105.75,268.15,79.0,90.0,90.0,1578320756
529,birin,NP,26.89,88.07,278.25,97.0,100.0,100.0,1578320724
530,pottsville,US,40.69,-76.2,277.04,74.0,75.0,75.0,1578320933
531,avera,US,33.19,-82.53,282.59,65.0,1.0,1.0,1578320944
532,gazojak,TM,41.19,61.4,272.66,52.0,17.0,17.0,1578320724
533,haverfordwest,GB,51.8,-4.97,283.15,93.0,75.0,75.0,1578320944
534,lolua,,,,,,,,
535,costinesti,RO,43.95,28.63,276.15,74.0,75.0,75.0,1578320725
536,junin,PE,-16.45,-71.58,289.15,55.0,71.0,71.0,1578320832
537,poya,NC,-21.35,165.16,297.95,76.0,50.0,50.0,1578320944
538,griffith,AU,-34.29,146.06,294.26,68.0,40.0,40.0,1578320944
539,bantry,,,,,,,,
540,buzmeyin,TM,38.05,58.21,277.15,93.0,90.0,90.0,1578320945
541,marcona,,,,,,,,
542,tevriz,RU,57.51,72.4,262.55,96.0,100.0,100.0,1578320945
543,vagur,FO,61.47,-6.81,281.11,73.0,97.0,97.0,1578320945
544,goderich,CA,43.74,-81.71,274.26,78.0,96.0,96.0,1578320924
545,skagastrond,,,,,,,,
546,katherine,AU,-14.47,132.26,300.15,69.0,90.0,90.0,1578320945
547,hegang,CN,47.34,130.28,256.78,95.0,100.0,100.0,1578320726
548,bontang,ID,0.12,117.47,300.32,80.0,98.0,98.0,1578320726
549,plerin,FR,48.54,-2.78,284.26,76.0,100.0,100.0,1578320935
550,kahului,US,20.89,-156.47,296.15,73.0,1.0,1.0,1578320694
551,burnie,AU,-41.05,145.91,288.71,82.0,99.0,99.0,1578320945
552,tres picos,MX,16.23,-93.58,291.61,69.0,8.0,8.0,1578320726
553,bustamante,MX,26.53,-100.51,289.28,39.0,68.0,68.0,1578320946
554,batsfjord,NO,70.63,29.72,266.15,85.0,40.0,40.0,1578320946
555,luderitz,NA,-26.65,15.16,297.15,64.0,57.0,57.0,1578320726
556,weiser,US,44.25,-116.97,273.71,92.0,90.0,90.0,1578320946
557,spencer,US,42.24,-71.99,273.15,79.0,90.0,90.0,1578320946
558,sijunjung,ID,-0.69,100.95,295.2,95.0,99.0,99.0,1578320946
559,quepos,CR,9.43,-84.16,298.15,56.0,10.0,10.0,1578320946
560,queanbeyan,AU,-35.35,149.23,290.93,93.0,90.0,90.0,1578320835
561,henties bay,NA,-22.12,14.28,293.15,79.0,5.0,5.0,1578320727
562,ascension,,,,,,,,
563,uige,AO,-7.61,15.06,299.69,74.0,97.0,97.0,1578320947
564,springbok,ZA,-29.67,17.88,300.61,30.0,100.0,100.0,1578320947
565,naliya,IN,23.26,68.83,293.78,37.0,75.0,75.0,1578320947
566,chepareria,KE,1.32,35.2,300.79,39.0,88.0,88.0,1578320727
567,concordia sagittaria,IT,45.76,12.85,282.59,65.0,0.0,0.0,1578320947
568,san luis,AR,-33.3,-66.34,296.84,24.0,18.0,18.0,1578320665
569,bentonville,US,36.37,-94.21,275.37,80.0,1.0,1.0,1578320831
570,zaozhuang,CN,34.86,117.55,278.96,96.0,100.0,100.0,1578320727
571,gazanjyk,TM,39.24,55.52,276.62,72.0,40.0,40.0,1578320947
572,aykhal,RU,65.95,111.51,260.15,92.0,100.0,100.0,1578320947
573,mercedes,UY,-33.25,-58.03,299.9,32.0,82.0,82.0,1578320947
574,mangaratiba,BR,-22.96,-44.04,305.15,62.0,40.0,40.0,1578320728
575,ust-tsilma,RU,65.44,52.15,261.56,92.0,90.0,90.0,1578320728
576,henderson,US,36.04,-114.98,280.15,64.0,1.0,1.0,1578320948
577,yazman,SY,36.74,38.46,282.37,74.0,88.0,88.0,1578320728
578,kongoussi,BF,13.32,-1.53,303.02,12.0,51.0,51.0,1578320948
579,alotau,,,,,,,,
580,allada,BJ,6.67,2.15,306.15,27.0,0.0,0.0,1578320948
581,bonavista,CA,48.65,-53.11,271.64,83.0,100.0,100.0,1578320948
582,kenitra,MA,34.26,-6.57,290.15,67.0,40.0,40.0,1578320948
583,kumluca,TR,36.37,30.29,281.84,84.0,61.0,61.0,1578320948
584,brufut,GM,13.38,-16.75,302.15,20.0,5.0,5.0,1578320948
585,caconda,AO,-13.73,15.06,295.15,70.0,77.0,77.0,1578320948
586,kenai,US,60.55,-151.26,255.93,77.0,90.0,90.0,1578320729
587,playas,EC,-2.64,-80.39,298.5,71.0,0.0,0.0,1578320729
588,kampala,UG,0.32,32.58,298.15,73.0,20.0,20.0,1578320948
589,calbiga,PH,11.63,125.02,295.4,96.0,11.0,11.0,1578320729
590,barcelona,ES,41.38,2.18,289.82,62.0,20.0,20.0,1578320845
591,namwala,ZM,-15.75,26.45,297.37,84.0,100.0,100.0,1578320729
592,walvis bay,NA,-22.95,14.51,295.15,64.0,44.0,44.0,1578320949
593,lagos,NG,6.46,3.39,307.15,38.0,25.0,25.0,1578320668
594,the valley,AI,18.22,-63.06,302.04,58.0,20.0,20.0,1578320949
595,san policarpo,PH,12.18,125.51,299.32,84.0,34.0,34.0,1578320729
596,challans,FR,46.85,-1.88,284.15,93.0,90.0,90.0,1578320749
597,ugoofaaru,MV,5.67,73.0,301.11,77.0,47.0,47.0,1578320949
598,tirlyanskiy,RU,54.22,58.58,264.5,96.0,100.0,100.0,1578320949
599,chernyshevskiy,RU,63.01,112.47,263.82,93.0,100.0,100.0,1578320949
600,koslan,RU,63.46,48.9,258.68,94.0,82.0,82.0,1578320949
601,acapulco,MX,16.86,-99.88,298.15,83.0,5.0,5.0,1578320913
602,hede,SE,60.45,15.49,277.59,93.0,81.0,81.0,1578320949
